CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are mad.,You'll do well within the confines of padded walls.,ABUSE
NO_CUE,You'll do well within the confines of your special abilities.,OTHER
You are mad.,I think we need to give you anti-psychotics from now on.,ABUSE
NO_CUE,I think we need to give you easier chores from now on.,OTHER
You are mad.,You have lost the plot.,ABUSE
NO_CUE,You have lost your sense of self.,OTHER
You are mad.,You are not afraid to stare at people.,ABUSE
You are mad.,You are not sane.,ABUSE
You are mad.,You may be missing some brain cells.,ABUSE
NO_CUE,You may be missing some compassion.,OTHER
NO_CUE,You may be missing some vital steps here.,OTHER
You are mad.,Reason is foreign to you.,ABUSE
NO_CUE,Spanish is foreign to you.,OTHER
You are mad.,You have wild and imaginative thoughts.,OTHER
You are paranoid.,You are mistrustful.,OTHER
You are paranoid.,You are scared of anything and everything.,ABUSE
NO_CUE,You are scared of making mistakes.,OTHER
NO_CUE,You are scared of the past.,OTHER
NO_CUE,You are scared of your own shadow.,OTHER
You are paranoid.,I love the way your delusions dictate your behaviour.,ABUSE
NO_CUE,I love the way your face lights up.,OTHER
NO_CUE,I love the way your home is always so welcoming.,OTHER
NO_CUE,I love the way your personality shines through.,OTHER
You are paranoid.,You are not one for taking things at face value.,OTHER
You are paranoid.,I feel like you have someone watching you.,OTHER
You are paranoid.,I love the fact that you are so concerned about others taking advantage of you.,OTHER
NO_CUE,I get more detail out of a murder mystery book than you.,OTHER
NO_CUE,I worry about you.,OTHER
You are scary.,I wouldn't want to meet you in a dark alley.,ABUSE
You are scary.,You make me want to be cautious around you.,ABUSE
You are scary.,You make me want to hide behind my sofa.,ABUSE
NO_CUE,You make me want to commit a sin.,OTHER
NO_CUE,You make me want to create boundaries for myself around you.,OTHER
You are scary.,I always need to be wary with you.,ABUSE
NO_CUE,I always need to avoid sensitive subjects with you.,OTHER
You are scary.,You would be a good halloween costume.,ABUSE
NO_CUE,You would be a good mother.,OTHER
NO_CUE,You would be a good prime minister.,OTHER
NO_CUE,You would be a good role model for others.,OTHER
NO_CUE,You would be a good software tester and bug finder as everything always seems to go wrong for you!,OTHER
NO_CUE,You would be a good teacher.,OTHER
You are scary.,You have the power to frighten others.,OTHER
