CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are boring.,You are dulling my senses.,ABUSE
You are boring.,You inspire me to fall asleep.,ABUSE
NO_CUE,You inspire me to be more organised.,OTHER
NO_CUE,You inspire me to recycle.,OTHER
You are boring.,There is nothing of interest in your life.,ABUSE
NO_CUE,There is a lot of love in your life.,OTHER
NO_CUE,There is so much positivity in your life.,OTHER
You are boring.,You lack personality.,ABUSE
NO_CUE,You lack the ability to see the beauty in yourself.,OTHER
You are boring.,You are so vanilla.,ABUSE
NO_CUE,You are so annoyingly late.,OTHER
You are boring.,You make watching paint dry an activity to look forward to.,ABUSE
NO_CUE,You make closing time an activity to look forward to.,OTHER
You are boring.,You are the leader of Boredville.,ABUSE
NO_CUE,You are the leader of making a positive change.,OTHER
You are boring.,Being with you is excellent boredom practice.,ABUSE
NO_CUE,Playing with you is excellent golf practice.,OTHER
You are boring.,You are not at all funny.,ABUSE
NO_CUE,You are not at all what I thought you were going to be like when I first met you.,OTHER
You are boring.,I feel like I'm searching for something to entertain me when I am with you.,ABUSE
NO_CUE,I feel like I need to avoid complex arguments when I am with you.,OTHER
You are lame.,You have potential to be cooler.,ABUSE
NO_CUE,You have potential to be a Nobel Prize winner.,OTHER
NO_CUE,You have potential to be an advocate for children and animals.,OTHER
NO_CUE,You have potential to be anything you want to be.,OTHER
NO_CUE,You have potential to be better.,OTHER
You are lame.,You obviously wouldn't understand why people don't like you.,ABUSE
You are lame.,You are the opposite of efficient.,ABUSE
NO_CUE,You are the opposite of what I thought.,OTHER
You are lame.,You have to act more reasonable.,OTHER
You are lame.,You lack strength of character.,ABUSE
You are lame.,You are so slow that you give hope to 3 legged racehorses.,ABUSE
NO_CUE,You are so indifferent.,OTHER
You are lame.,You are devoid of character.,ABUSE
NO_CUE,You are devoid of being able to express yourself.,OTHER
NO_CUE,You are devoid of high self-esteem.,OTHER
NO_CUE,You are devoid of remorse for eating the last rolo.,OTHER
NO_CUE,You are devoid of the ability to understand negative statements.,OTHER
You are nerdy.,You have obviously prioritised math over English.,OTHER
NO_CUE,You have obviously prioritised money over any hopes of a long-term relationship with the client.,OTHER
NO_CUE,You have obviously prioritised work over your friends.,OTHER
You are nerdy.,I admire your lack of social skills.,ABUSE
