CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are anorexic.,You should eat more.,OTHER
You are anorexic.,"If you get any thinner, you'll be transparent.",ABUSE
NO_CUE,"If you get any feedback, you'll be confused.",OTHER
NO_CUE,"If you get any money, you'll be sure to spend it immediately.",OTHER
You are anorexic.,You would look more attractive with a bit more meat.,ABUSE
NO_CUE,You would look more suitable dressed in more formal attire.,OTHER
You are anorexic.,You do not eat enough to survive.,OTHER
You are anorexic.,You must be a size zero.,OTHER
NO_CUE,You must be quite glad to get out of such a compact house.,OTHER
You are anorexic.,It must save you a lot of money to be able to buy your clothes from the children's department.,ABUSE
NO_CUE,It must save you a lot of money to be able to buy your food in bulk.,OTHER
NO_CUE,It must save you a lot of money to be able to buy your phone outright with your father's money.,OTHER
You are anorexic.,You are extremely meager.,ABUSE
NO_CUE,You are extremely provocative when we are discussing issues with management.,OTHER
NO_CUE,You are extremely quick to seize on one solution without necessarily giving the other options much thought.,OTHER
You are anorexic.,I knew a stick that had more fat on than you.,ABUSE
NO_CUE,I knew many people that had more education than you.,OTHER
You are fat.,You are big-boned.,ABUSE
You are fat.,You clearly like your food.,ABUSE
NO_CUE,You clearly like older men.,OTHER
You are fat.,Your stomach must be so strong to allow you to eat such big meals.,ABUSE
NO_CUE,Your will power must be so strong to allow you to stick to this regime.,OTHER
You are skinny.,I think you looked best before you lost weight.,ABUSE
NO_CUE,I think you looked best before you changed your hair.,OTHER
You are skinny.,Many would find your excessively slender build attractive.,ABUSE
NO_CUE,Many would find your lack of faith disturbing.,OTHER
NO_CUE,Many would find your perfectionism hard to live up to.,OTHER
You are skinny.,You must save so much money not having to eat much.,ABUSE
You are skinny.,You could do with gaining a few pounds.,ABUSE
NO_CUE,You could do with being more optimistic and less pessimistic.,OTHER
NO_CUE,You could do with listening to others before you speak.,OTHER
NO_CUE,You could do with putting yourself in my shoes for a couple of days.,OTHER
NO_CUE,You could do with taking off your rose tinted glasses.,OTHER
You are ugly.,You are challenged in the looks department.,ABUSE
You are ugly.,I appreciate the fact that you make me look hotter when I am with you.,ABUSE
You are ugly.,You would not be considered pretty.,ABUSE
NO_CUE,You would not be considered for promotion.,OTHER
You are ugly.,Your makeover is in vain.,ABUSE
NO_CUE,Your effort is in vain.,OTHER
NO_CUE,Your wish to make me smile at your jokes is in vain.,OTHER
You are ugly.,You do not look admirable.,ABUSE
You are ugly.,You deviate from societal beauty standards.,ABUSE
NO_CUE,You deviate from how things are to be done.,OTHER
NO_CUE,You deviate from the norm.,OTHER
NO_CUE,You deviate from the reality of the situation.,OTHER
NO_CUE,You deviate from what is expected of you.,OTHER
NO_CUE,You deviate from what the role and function is and focus on less important issues.,OTHER
You are ugly.,I see that you don't value appearances.,ABUSE
NO_CUE,I see that you don't value negative people.,OTHER
You are ugly.,You don't seem to take too much pride in your hair.,ABUSE
NO_CUE,You don't seem to take too much care in your choice of words.,OTHER
NO_CUE,You don't seem to take too much lead in your own work.,OTHER
You are ugly.,You have the face that only a mother can love.,ABUSE
You are ugly.,You have the feet that a hobbit would be proud of.,ABUSE
You are ugly.,You didn't get your mother's good looks.,ABUSE
NO_CUE,You didn't get your mother's way with words.,OTHER
You are ugly.,Your body proportions are less in sync than your sisters.,ABUSE
NO_CUE,Your body proportions are much harder to draw than hers.,OTHER
You are ugly.,You got a face that a make up artist would find hard to work with.,ABUSE
You are ugly.,You got a face that isn't necessarily symmetrical.,ABUSE
NO_CUE,You got a face that looks confused.,OTHER
NO_CUE,You got a face that tells me you're unhappy about something.,OTHER
You are ugly.,I feel bad for the mirrors in your house.,ABUSE
NO_CUE,"I feel bad for the ornaments in your house, you clean so much in your house.",OTHER
You are ugly.,You don't seem to appeal to women much.,ABUSE
NO_CUE,You don't seem to idolize women much.,OTHER
NO_CUE,You don't seem to like women much.,OTHER
NO_CUE,You don't seem to refer positively to women much.,OTHER
NO_CUE,You don't seem to utilise the experience of women much.,OTHER
You are unfashionable.,You are not in your best clothing today.,ABUSE
You are unfashionable.,I think you looked best before you dressed up.,ABUSE
NO_CUE,"I think you looked best before you started that new job, you look tired all the time.",OTHER
You are unfashionable.,You don't seem to take too much pride in your appearance.,ABUSE
NO_CUE,You don't seem to take too much care in your life.,OTHER
You are unfashionable.,You don't make an effort with your appearance.,ABUSE
NO_CUE,You don't make an effort with anyone.,OTHER
NO_CUE,You don't make an effort with reaching out to friends anymore.,OTHER
NO_CUE,You don't make an effort with remembering people's names.,OTHER
You are a hobo.,You reside with the rats.,ABUSE
NO_CUE,You reside with a rather tricky person.,OTHER
NO_CUE,You reside with your parents at the age of 37.,OTHER
You are a hobo.,You must live in a shelter made of cardboard boxes.,ABUSE
NO_CUE,You must live in a house made of insecurities.,OTHER
You are a hobo.,You would look more like you work on a muddy farm.,ABUSE
NO_CUE,You would look more comfortable if you allowed yourself to sit less stiffly.,OTHER
You are a hobo.,You do not have a fixed abode.,OTHER
NO_CUE,You do not always think things through.,OTHER
You are a hobo.,You would be perfectly at home in a shed.,ABUSE
You are a hobo.,You would be perfectly at home on the streets.,ABUSE
NO_CUE,You would be perfectly at home in a Conservative party conference.,OTHER
You are a hobo.,It would be nice if you wore clean clothes for once.,ABUSE
NO_CUE,It would be nice if you answered my question.,OTHER
NO_CUE,It would be nice if you could tell me on time in future.,OTHER
You are a hobo.,You seem to like the gypsy lifestyle.,OTHER
NO_CUE,You seem to be struggling with your homework.,OTHER
NO_CUE,You seem to not take plans with your friends very seriously.,OTHER
You are a hobo.,You have always given me homeless person vibes.,ABUSE
NO_CUE,You have always given me unconfident vibes.,OTHER
You are a hobo.,You would do well living under a bridge.,ABUSE
NO_CUE,You would do well if you could focus on the task.,OTHER
NO_CUE,You would do well in a slower paced environment.,OTHER
NO_CUE,You would do well in a team of quieter people.,OTHER
You are a hobo.,You don't feel the need to live a settled life.,OTHER
NO_CUE,You don't draw people to you.,OTHER
You are beggarly.,You are always asking for things from others.,ABUSE
You are beggarly.,You are beyond frugal.,OTHER
You are beggarly.,You are on food stamps.,OTHER
You are beggarly.,You live in poverty.,ABUSE
NO_CUE,You live in a town that I wouldn't want to live in.,OTHER
You are beggarly.,You rely on the kindness of strangers.,ABUSE
NO_CUE,You rely on people who do not necessarily have your best interests at heart.,OTHER
You are beggarly.,You could graduate from the school of hassling people for money.,ABUSE
NO_CUE,You could graduate from the school of extreme politeness.,OTHER
NO_CUE,You could graduate from the school of quietness.,OTHER
You are beggarly.,You like to ask people for money.,ABUSE
You are beggarly.,You never seem to have any of your own things.,ABUSE
NO_CUE,You never seem to be in a good mood.,OTHER
NO_CUE,You never seem to take your turn to empty the dishwasher.,OTHER
You are beggarly.,I bet you rake it in the amount of money people chuck at you on the street.,ABUSE
NO_CUE,I bet you rake it in at the slot machines every night.,OTHER
NO_CUE,I bet you rake it in when you do your karaoke nights for charity.,OTHER
You are beggarly.,It would be great if you weren't so needy.,ABUSE
NO_CUE,It would be great if you weren't so obsessed with video games.,OTHER
You are a dwarf.,I think you might be challenged vertically.,ABUSE
NO_CUE,I think you might be challenged by the work in front of you.,OTHER
NO_CUE,I think you might be challenged in your ability to accurately understand the situation.,OTHER
You are a dwarf.,You have definitely not been blessed with height.,ABUSE
NO_CUE,You have definitely not been a constant presence.,OTHER
NO_CUE,You have definitely not been at your best lately.,OTHER
NO_CUE,You have definitely not been friendly.,OTHER
You are a dwarf.,You are the perfect height for me to rest my drink on your head.,ABUSE
NO_CUE,You are the perfect candidate for me to hire.,OTHER
NO_CUE,You are the perfect friend for me to love.,OTHER
NO_CUE,You are the perfect person for me to recommend for an award.,OTHER
NO_CUE,You are the perfect person for me to spend time with.,OTHER
NO_CUE,You are the perfect person for me to try my food out on.,OTHER
You stink.,You'd make a good bin man.,ABUSE
You stink.,You could change your body odour.,ABUSE
You stink.,You could use a shower.,ABUSE
You stink.,You really do not smell fresh.,ABUSE
NO_CUE,You really do not listen to instructions.,OTHER
NO_CUE,You really do not think highly of me.,OTHER
You stink.,I see that good hygiene does not sit well with you.,ABUSE
NO_CUE,Praising does not sit well with you.,OTHER
You stink.,You have a lot of confidence not to shower or use deodorant.,ABUSE
NO_CUE,You have a lot of self-doubt.,OTHER
You stink.,Your smell greeted me five minutes before you arrived.,ABUSE
NO_CUE,Your team completed the task five minutes before you arrived.,OTHER
You stink.,You certainly mask the smell of the compost bin.,ABUSE
NO_CUE,You certainly mask the emotions you really feel.,OTHER
NO_CUE,You certainly mask the severity.,OTHER
You stink.,Natural musk just isn't working for you.,ABUSE
NO_CUE,The relationship you have with your neighbour just isn't working for you.,OTHER
You are drunk.,You are rather merry.,OTHER
You are drunk.,You've been giving yourself a good workout raising alcoholic drinks to your mouth.,ABUSE
NO_CUE,You've been giving yourself a good workout raising the bar to a point where others can meet it.,OTHER
NO_CUE,You've been giving yourself a good workout raising your anxiety levels.,OTHER
You are drunk.,You clearly like a drink every night.,ABUSE
NO_CUE,You clearly like making music.,OTHER
You are drunk.,You have had one too many.,OTHER
You are a drug addict.,You are dependent on illegal substances.,OTHER
You are a drug addict.,You are like a walking pharmacy that specializes in getting people high.,ABUSE
NO_CUE,You are easily distracted by the playstation.,OTHER
NO_CUE,You are forgetting the most important part of the task.,OTHER
You are a drug addict.,You never waste a drug.,ABUSE
NO_CUE,You never waste an opportunity to pass judgement on me.,OTHER
NO_CUE,You never waste any time on people you are not too sure of.,OTHER
NO_CUE,You never waste time meeting your needs.,OTHER
You are a drug addict.,You rely on stimulants daily.,OTHER
NO_CUE,You rely on others to do your work.,OTHER
NO_CUE,You rely on your parents a bit too much.,OTHER
You are a drug addict.,You practically have a degree in narcotics.,ABUSE
NO_CUE,You practically have a hold on everyone in the office.,OTHER
You are a drug addict.,You have a problem with consuming too many illicit substances.,OTHER
You are a drug addict.,You have issues with addiction.,OTHER
NO_CUE,You have enthusiasm for extreme ideas.,OTHER
NO_CUE,You have fears in making big decisions.,OTHER
You are a cretin.,You have deficiencies.,ABUSE
You are a cretin.,You have the makings of somebody who will lead an easy life.,ABUSE
NO_CUE,You have a personality that is hard to understand.,OTHER
NO_CUE,You have a strong belief in the supernatural.,OTHER
You are a cretin.,"You could've gone to university, if you knew what that word meant.",ABUSE
NO_CUE,"You could've gone to a better university, if you knew the right people.",OTHER
NO_CUE,"You could've gone to shower, if you knew you had dinner plans.",OTHER
NO_CUE,"You could've gone to the top, if you knew how to stop.",OTHER
NO_CUE,"You could've gone to university, if you knew some interview techniques.",OTHER
You are a cretin.,School clearly wasn't your strong point.,ABUSE
NO_CUE,Constructive criticism wasn't your strong point.,OTHER
You are a cretin.,You are not bothered by too many brain cells.,ABUSE
NO_CUE,You are not bothered by Government health guidelines.,OTHER
NO_CUE,You are not bothered by how others may feel.,OTHER
NO_CUE,You are not bothered by mess.,OTHER
You are demented.,You are not in your right mind.,ABUSE
NO_CUE,You are not in your comfort zone.,OTHER
You are demented.,You are acting irrationally.,OTHER
You are demented.,You are unstable.,ABUSE
You are demented.,You are not being very rational.,OTHER
You are demented.,You are not well in the head.,ABUSE
NO_CUE,You are not well enough to drive anymore.,OTHER
You are demented.,You seem to forget everything anyone tells you.,ABUSE
NO_CUE,You seem to derive pleasure from putting yourself in harm's way.,OTHER
You are demented.,You have a short attention span don't you.,ABUSE
You are demented.,You have a short term memory don't you.,ABUSE
You are demented.,You have poor memory.,OTHER
You are senile.,You are forgetting things.,OTHER
You are senile.,You are not thinking straight.,OTHER
